词语	强度	极性
择善而从	weaksubj	positive
孺子可教	midsubj	positive
改邪归正	midsubj	positive
一改故辙	midsubj	positive
袒裼裸裎	midsubj	negative
苟合取容	midsubj	negative
头童齿豁	weaksubj	0
如到宝山空手回	midsubj	negative
大厦将倾，一木难支	strongsubj	negative
兵败如山倒	midsubj	negative
弃甲倒戈	strongsubj	negative
望风破胆	midsubj	negative
彩凤随鸦	weaksubj	negative
一事无成	midsubj	negative
不肖子孙	midsubj	negative
虚度年华	midsubj	negative
怙恶不悛	strongsubj	negative
一丘之貉	midsubj	negative
偷东摸西	strongsubj	negative
紧行无好步	weaksubj	0
放虎自卫	strongsubj	negative
谬种流传	midsubj	negative
粗服乱头	weaksubj	negative
阿其所好	midsubj	negative
冥室椟棺	strongsubj	negative
不辨龙蛇	midsubj	negative
鹦鹉学舌	weaksubj	negative
投机倒把	strongsubj	negative
以耳为目	weaksubj	negative
咎由自取	strongsubj	negative
引狗入寨	strongsubj	negative
自讨没趣	midsubj	negative
姗姗来迟	weaksubj	negative
何其相似乃尔	weaksubj	0
倾家荡产	midsubj	0
蠹众木折	midsubj	negative
化为泡影	midsubj	0
尺布斗栗	weaksubj	0
漏泄春光	weaksubj	0
摇旗打鼓	weaksubj	0
徙宅忘妻	strongsubj	negative
恃勇轻敌	weaksubj	negative
伯歌季舞	weaksubj	positive
欢喜冤家	weaksubj	0
金石交	weaksubj	0
笙磬同音	weaksubj	0
竹马之好	weaksubj	0
傥来之物	weaksubj	0
平地一声雷	midsubj	0
君子之交	weaksubj	positive
单相思	weaksubj	0
赤身露体	weaksubj	0
淡妆浓抹	weaksubj	negative
逼真逼肖	midsubj	positive
格物穷理	weaksubj	0
去伪存真	weaksubj	positive
追本穷源	weaksubj	0
流言止于智者	weaksubj	0
杅穿皮蠹	weaksubj	0
丁一确二	weaksubj	positive
明辨是非	weaksubj	positive
南征北战	weaksubj	0
拐弯抹角	weaksubj	negative
虚情假意	strongsubj	negative
奋勇当先	strongsubj	positive
身先士卒	strongsubj	positive
碧血丹心	strongsubj	positive
食少事繁	midsubj	positive
风雨同舟	midsubj	positive
问安视膳	midsubj	positive
敬而远之	midsubj	negative
敬贤礼士	strongsubj	positive
尊师重道	strongsubj	positive
得薄能鲜	midsubj	negative
马齿徒增	midsubj	negative
昂首望天	midsubj	negative
独弦哀歌	midsubj	negative
居功自傲	midsubj	negative
自高其功	midsubj	negative
贪名爱利	strongsubj	negative
封豕长蛇	strongsubj	negative
蛇吞象	strongsubj	negative
眼馋肚饱	midsubj	negative
xixi	midsubj	0
葱白	strongsubj	positive
我去	strongsubj	0
BS	strongsubj	negative
CC	midsubj	positive
无语	midsubj	negative
八婆	weaksubj	negative
超爽	strongsubj	0
包子	midsubj	negative
_god	strongsubj	0
爱老虎油	strongsubj	positive
呕像	weaksubj	negative
MPJ	midsubj	negative
固执	midsubj	negative
浑水摸鱼	weaksubj	negative
得寸进尺	midsubj	negative
尔虞我诈	strongsubj	negative
空洞	weaksubj	negative
婆婆妈妈	weaksubj	negative
滥竽充数	strongsubj	negative
猎取	weaksubj	negative
蛮横	midsubj	negative
擅自	weaksubj	negative
拈轻怕重	weaksubj	negative
漠然	weaksubj	negative
怨尤	midsubj	negative
暴烈	midsubj	negative
偏见	weaksubj	0
招摇	strongsubj	negative
千篇一律	midsubj	negative
骄矜	strongsubj	negative
求全责备	weaksubj	negative
势利	strongsubj	negative
挑剔	midsubj	negative
偷懒	weaksubj	negative
畏葸不前	midsubj	negative
无稽之谈	strongsubj	negative
无中生有	midsubj	negative
犯疑心病	weaksubj	negative
叶公好龙	strongsubj	negative
变节	midsubj	negative
灭绝人性	strongsubj	negative
奸险	strongsubj	negative
猥劣	strongsubj	negative
奸诈	strongsubj	negative
诡诈	strongsubj	negative
浇薄	strongsubj	negative
虚骄	strongsubj	negative
不自量力	midsubj	negative
老气横秋	midsubj	negative
狂气	midsubj	negative
刚愎	midsubj	negative
小心眼	strongsubj	negative
陋习	strongsubj	negative
阳奉阴违	midsubj	negative
随风倒	midsubj	negative
自私自利	strongsubj	negative
鄙俗	midsubj	negative
蛮不讲理	strongsubj	negative
轻率	midsubj	negative
愚鲁	strongsubj	negative
摇头摆尾	weaksubj	negative
蠢笨	strongsubj	negative
愚顽	midsubj	negative
儇薄	midsubj	negative
水性杨花	strongsubj	negative
贪嘴	weaksubj	negative
愚直	midsubj	negative
怪诞	weaksubj	negative
浮皮潦草	midsubj	negative
毛手毛脚	midsubj	negative
食言	midsubj	negative
鬼祟	strongsubj	negative
出圈儿	midsubj	negative
奴颜媚骨	strongsubj	negative
欺哄	weaksubj	negative
耍滑	weaksubj	negative
耍赖	midsubj	negative
恣意妄为	strongsubj	negative
闲散	weaksubj	negative
兔死狗烹	strongsubj	negative
蛮勇	weaksubj	negative
自恋	weaksubj	negative
有勇无谋	midsubj	negative
不识人间有羞耻事	strongsubj	negative
辱门败户	strongsubj	negative
慢腾腾	weaksubj	negative
人心似铁	strongsubj	negative
盲用	weaksubj	negative
慢慢吞吞	weaksubj	negative
孤行己见	midsubj	negative
强横霸道	strongsubj	negative
萧规曹随	midsubj	negative
左右袒	weaksubj	negative
干巴	weaksubj	negative
化公为私	strongsubj	negative
权欲熏心	strongsubj	negative
猥鄙	strongsubj	negative
膏粱子弟	strongsubj	negative
淫秽	strongsubj	negative
艳情	midsubj	negative
口角	weaksubj	negative
冷酷无情	midsubj	negative
有理无情	midsubj	negative
耍滑头	weaksubj	negative
身单力薄	weaksubj	negative
错误百出	midsubj	negative
生吞活剥	midsubj	negative
臭名昭著	strongsubj	negative
发酸	weaksubj	0
言之无物	weaksubj	negative
傲物	midsubj	negative
摆款儿	weaksubj	negative
板荡	strongsubj	negative
暴政	midsubj	negative
兵痞	strongsubj	negative
财迷	weaksubj	negative
向着	midsubj	negative
桑梓之念	midsubj	0
惊吓	midsubj	0
心血来潮	weaksubj	negative
享乐	weaksubj	negative
惊诧	strongsubj	0
怪讶	midsubj	0
平定	weaksubj	0
精湛	midsubj	positive
冰心	midsubj	positive
并力	weaksubj	positive
博雅	midsubj	positive
才赋	midsubj	positive
才学	midsubj	positive
苍郁	weaksubj	positive
长技	midsubj	positive
草寇	midsubj	negative
插足	weaksubj	negative
谗佞	strongsubj	negative
伥鬼	strongsubj	negative
吵人	midsubj	negative
尘嚣	weaksubj	negative
称霸	midsubj	negative
超卓	strongsubj	positive
沉挚	midsubj	positive
成名	midsubj	positive
吃心	weaksubj	negative
齿冷	midsubj	negative
忡忡	midsubj	negative
丑事	midsubj	negative
承教	midsubj	positive
骋目	weaksubj	0
崇信	strongsubj	positive
出蓝	midsubj	positive
创举	midsubj	positive
憷头	weaksubj	negative
春山	weaksubj	positive
纯稚	midsubj	positive
吹擂	midsubj	negative
蠢话	midsubj	negative
刺儿话	weaksubj	negative
窜犯	midsubj	negative
篡位	strongsubj	negative
错会	weaksubj	negative
呆子	weaksubj	negative
刀俎	midsubj	negative
盗匪	midsubj	negative
盗用	midsubj	negative
桂冠	strongsubj	positive
国光	midsubj	positive
国威	weaksubj	positive
酣眠	weaksubj	positive
敌特	midsubj	negative
颠沛	weaksubj	negative
丢份	weaksubj	negative
毒贩	midsubj	negative
赌棍	midsubj	negative
断代	weaksubj	0
恶疾	midsubj	negative
恶性	midsubj	negative
贰臣	weaksubj	negative
法盲	midsubj	negative
反侧	weaksubj	negative
饭桶	strongsubj	negative
放刁	midsubj	negative
非人	strongsubj	negative
匪祸	midsubj	negative
分赃	midsubj	negative
奉迎	weaksubj	negative
浮夸	weaksubj	negative
负隅	weaksubj	negative
官僚	midsubj	negative
惯贼	midsubj	negative
淳古	midsubj	positive
慈怜	midsubj	positive
葱郁	weaksubj	positive
翠蓝	weaksubj	positive
存问	weaksubj	0
打躬	weaksubj	positive
大观	midsubj	positive
大士	midsubj	positive
大雅	midsubj	positive
黛紫	weaksubj	0
当先	weaksubj	0
鬼子	strongsubj	negative
得救	weaksubj	0
得中	weaksubj	positive
砥柱	strongsubj	positive
叮咛	weaksubj	0
国耻	strongsubj	negative
过头	weaksubj	negative
黑金	weaksubj	negative
后门	weaksubj	negative
虎口	weaksubj	0
幻灭	midsubj	negative
谎话	weaksubj	negative
毁约	weaksubj	negative
秽行	midsubj	negative
混账	midsubj	negative
挤占	weaksubj	negative
假手	weaksubj	negative
进犯	weaksubj	negative
拘牵	weaksubj	negative
懒怠	strongsubj	negative
空论	weaksubj	negative
懂行	midsubj	positive
洞究	weaksubj	positive
宽纵	weaksubj	negative
独步	midsubj	positive
笃学	midsubj	positive
端平	midsubj	positive
墩劝	weaksubj	positive
夺魁	midsubj	0
发奋	midsubj	positive
发展	weaksubj	0
繁盛	midsubj	positive
芳烈	midsubj	positive
放达	weaksubj	positive
飞灵	weaksubj	positive
肥壮	weaksubj	positive
丰饶	midsubj	positive
富源	weaksubj	positive
改过	weaksubj	positive
甘贵	midsubj	0
刚性	weaksubj	positive
高档	midsubj	positive
高朗	weaksubj	positive
捞摸	midsubj	negative
勒抑	midsubj	negative
冷遇	weaksubj	negative
敛财	midsubj	negative
凌夷	weaksubj	negative
流气	midsubj	negative
高爽	midsubj	positive
露丑	midsubj	negative
乱民	weaksubj	negative
沦丧	midsubj	negative
落套	weaksubj	negative
埋汰	weaksubj	negative
毛子	weaksubj	negative
没样儿	weaksubj	negative
媚外	midsubj	negative
密谋	midsubj	negative
冥顽	midsubj	negative
高升	strongsubj	0
更生	weaksubj	positive
工稳	midsubj	positive
攻书	weaksubj	positive
公认	strongsubj	positive
挂记	midsubj	0
磨烦	weaksubj	negative
观止	strongsubj	positive
贯彻	weaksubj	0
光溜	midsubj	positive
呶呶	weaksubj	negative
闹架	weaksubj	negative
闹灾	midsubj	negative
国本	midsubj	0
啮噬	strongsubj	negative
奴化	midsubj	negative
殴打	strongsubj	negative
攀诬	midsubj	negative
旁骛	weaksubj	negative
好评	strongsubj	positive
皮囊	weaksubj	negative
偏差	weaksubj	negative
剽取	midsubj	negative
破财	weaksubj	0
歧途	midsubj	negative
起哄	midsubj	negative
前愆	weaksubj	negative
枪替	midsubj	negative
抢劫	midsubj	negative
浩浩	weaksubj	0
贺匾	midsubj	positive
贺喜	strongsubj	positive
红星	midsubj	positive
洪钟	weaksubj	positive
宏论	strongsubj	positive
护佑	weaksubj	positive
华彩	midsubj	positive
欢歌	midsubj	positive
欢宴	midsubj	positive
挥毫	midsubj	positive
回归	weaksubj	positive
活溜	weaksubj	positive
积德	midsubj	positive
吉期	strongsubj	positive
窃夺	midsubj	negative
侵袭	midsubj	negative
倾轧	midsubj	negative
求全	weaksubj	negative
取闹	midsubj	negative
缺点	strongsubj	negative
饶舌	weaksubj	negative
认头	weaksubj	negative
辱命	weaksubj	negative
杀机	midsubj	negative
蛇头	midsubj	negative
生事	weaksubj	negative
失范	weaksubj	negative
失算	midsubj	negative
手黑	strongsubj	negative
受苦	midsubj	0
受制	midsubj	negative
衰颓	midsubj	negative
搜刮	midsubj	negative
损伤	midsubj	negative
贪贿	midsubj	negative
逃兵	midsubj	negative
体罚	midsubj	negative
偷盗	strongsubj	negative
透顶	strongsubj	negative
蜕化	weaksubj	negative
歪理	midsubj	negative
顽梗	midsubj	negative
妄人	midsubj	negative
威胁	midsubj	negative
违纪	midsubj	negative
窝主	strongsubj	negative
芜杂	midsubj	negative
嬉皮士	weaksubj	negative
瞎扯	midsubj	negative
嫌忌	midsubj	negative
险阻	midsubj	negative
萧索	midsubj	negative
邪魔	midsubj	negative
泄密	midsubj	negative
凶犯	midsubj	negative
凶杀	midsubj	negative
熊包	midsubj	negative
虚话	midsubj	negative
虚妄	midsubj	negative
眩惑	midsubj	negative
压制	strongsubj	negative
掩饰	midsubj	negative
妖风	midsubj	negative
窑子	midsubj	negative
一窝蜂	weaksubj	negative
疑忌	midsubj	negative
异端	midsubj	negative
阴湿	weaksubj	negative
淫画	midsubj	negative
引诱	midsubj	negative
庸才	midsubj	negative
诱胁	midsubj	negative
迂气	midsubj	negative
愚民	midsubj	negative
郁然	midsubj	negative
冤孽	midsubj	negative
怨仇	midsubj	negative
怨懑	midsubj	negative
钦慕	midsubj	positive
勤勤	midsubj	positive
清官	midsubj	positive
杂念	weaksubj	negative
灾祸	midsubj	negative
佳境	strongsubj	positive
不甘心	midsubj	0
精卫填海	midsubj	positive
美好	strongsubj	positive
至交	strongsubj	positive
偏袒	midsubj	negative
心如死灰	strongsubj	0
见长	strongsubj	positive
价廉质优	strongsubj	positive
一尘不染	midsubj	positive
榜样	midsubj	positive
拨弄	midsubj	negative
光棍	strongsubj	negative
憎恶	strongsubj	0
精悍	strongsubj	positive
不足挂齿	weaksubj	negative
懒散	midsubj	negative
粗重	weaksubj	0
惊人	strongsubj	0
英武	strongsubj	positive
不甘	strongsubj	0
虚伪	strongsubj	negative
融融	midsubj	positive
遗臭万年	strongsubj	negative
息事宁人	weaksubj	0
自在	strongsubj	0
坏事	strongsubj	negative
崩溃	strongsubj	0
得过且过	midsubj	negative
宽容	strongsubj	positive
自得其乐	strongsubj	positive
心惊肉跳	strongsubj	0
恋爱	strongsubj	0
赘疣	strongsubj	negative
萧瑟	strongsubj	0
高贵	strongsubj	positive
英豪	strongsubj	positive
摆布	strongsubj	negative
丝丝入扣	midsubj	positive
体贴入微	midsubj	positive
妻离子散	strongsubj	0
告捷	strongsubj	positive
打掩护	weaksubj	negative
尸位素餐	strongsubj	negative
操持	midsubj	positive
漠不关心	weaksubj	negative
栩栩如生	strongsubj	positive
服帖	strongsubj	0
长上	midsubj	0
有头无尾	strongsubj	negative
安然	midsubj	0
妖媚	midsubj	negative
碌碌	strongsubj	negative
不周	weaksubj	negative
仰望	strongsubj	positive
鼠辈	strongsubj	negative
幼稚	strongsubj	negative
风声鹤唳	strongsubj	0
传家宝	strongsubj	positive
杞人忧天	weaksubj	negative
功德	strongsubj	positive
天香国色	strongsubj	positive
平庸	weaksubj	negative
无所事事	strongsubj	negative
高明	strongsubj	positive
驴唇不对马嘴	strongsubj	negative
实心实意	midsubj	0
私自	weaksubj	negative
喜欢	midsubj	positive
陷落	strongsubj	0
心慌意乱	strongsubj	0
百孔千疮	midsubj	negative
疏忽	weaksubj	negative
老调	weaksubj	negative
放火	midsubj	negative
荒漠	weaksubj	0
丰盈	midsubj	positive
蠢动	strongsubj	negative
笃实	midsubj	positive
牵连	midsubj	0
功勋	strongsubj	positive
天翻地覆	strongsubj	negative
烦扰	strongsubj	negative
敞亮	midsubj	positive
祸胎	strongsubj	negative
心虚	weaksubj	negative
模范	midsubj	positive
实在	midsubj	positive
高人	midsubj	positive
昏沉	midsubj	0
平缓	weaksubj	0
身不由己	strongsubj	0
欠缺	weaksubj	0
千钧一发	midsubj	0
马大哈	weaksubj	negative
光洁	weaksubj	positive
怀恋	strongsubj	0
花魁	strongsubj	positive
沉痛	strongsubj	0
虚度	midsubj	negative
徘徊	strongsubj	0
幌子	midsubj	negative
水到渠成	strongsubj	positive
丢脸	midsubj	negative
鞭辟入里	midsubj	positive
畜生	strongsubj	negative
赤裸裸	weaksubj	negative
有口皆碑	strongsubj	positive
出头	midsubj	0
有血有肉	midsubj	positive
迎刃而解	midsubj	positive
狂暴	strongsubj	negative
说嘴	midsubj	negative
玲珑	midsubj	positive
愁眉不展	strongsubj	0
侈谈	midsubj	negative
纷乱	midsubj	negative
浓郁	midsubj	positive
天衣无缝	strongsubj	positive
拐子	midsubj	negative
泛泛	weaksubj	0
好听	midsubj	positive
软弱	midsubj	negative
对眼	midsubj	positive
莫须有	strongsubj	negative
沉痼	midsubj	negative
拘泥	weaksubj	negative
空想	strongsubj	negative
见不得人	strongsubj	negative
精雕细刻	midsubj	positive
响当当	midsubj	positive
半半拉拉	midsubj	negative
岔子	midsubj	negative
抬杠	midsubj	negative
先人后己	midsubj	positive
倚重	strongsubj	0
抽风	midsubj	negative
疙瘩	midsubj	0
惨绝人寰	midsubj	negative
恢弘	strongsubj	positive
好人	strongsubj	positive
前辈	midsubj	0
零星	weaksubj	0
危亡	midsubj	0
困顿	strongsubj	0
瞎说	strongsubj	negative
急转直下	midsubj	negative
解决	weaksubj	0
融融	weaksubj	positive
阎罗	midsubj	positive
便民	midsubj	positive
惶惶不可终日	strongsubj	0
亮堂	weaksubj	positive
甜美	midsubj	positive
天翻地覆	midsubj	positive
销魂	strongsubj	0
荒废	midsubj	negative
凌虐	midsubj	negative
痛快淋漓	strongsubj	positive
动人	weaksubj	positive
垂头丧气	midsubj	0
背时	midsubj	negative
洋洋	midsubj	positive
